Time,cntryID,cntry,Working_Age,Pop,LF,PWLF,Inactive
2015,reg100,BG,4426500,7177900,3403838.04,7283709.3,2751400
2020,reg100,BG,4163785,7020235,3238717.17,6860706.24,2856450
2025,reg100,BG,3913564.47,6678010.83,3056463.27,6555022.18,2764446.37
2030,reg100,BG,3696614.32,6423878.79,2885247.01,6263722.64,2727264.47
2035,reg100,BG,3518417.8,6182870.17,2732062.61,5998658.25,2664452.37
2040,reg100,BG,3314478.9,5957057.74,2578741.72,5718334.44,2642578.85
2045,reg100,BG,3082615.05,5747942.77,2432461.55,5449798.55,2665327.72
2050,reg100,BG,2886099.67,5558129.66,2297464.01,5202669.77,2672029.99
2055,reg100,BG,2695919.61,5380614.99,2184938.68,5000498.31,2684695.39
2060,reg100,BG,2578347.02,5209715.77,2114451.63,4883824.26,2631368.75
2065,reg100,BG,2533072.6,5042841.22,2067402.29,4813504.97,2509768.61
2070,reg100,BG,2472169.79,4881814.89,2016009.16,4729556.66,2409645.1
2075,reg100,BG,2384770.23,4729390.83,1954663.81,4619394.28,2344620.59
2080,reg100,BG,2285458.13,4592734.26,1886124,4488450.05,2307276.12
2085,reg100,BG,2185721.05,4473850.45,1818826.64,4356172.02,2288129.4
2090,reg100,BG,2103562.52,4373139.59,1757905.88,4234714.28,2269577.07
2095,reg100,BG,2031217.3,4284536.75,1700889.84,4119005.49,2253319.45
2100,reg100,BG,1959691.01,4196331.66,1644054.8,3999945.66,2236640.66
2015,reg156,CN,934019900,1397059300,776687385.7,1039036919,463039400
2020,reg156,CN,910273351,1423998019,755994617.1,1070585270,513724668
2025,reg156,CN,901173873.2,1426370440,746849147.6,1134026354,525196567.1
2030,reg156,CN,885764618,1416272717,735861781.6,1191814539,530508098.6
2035,reg156,CN,854852501.2,1398856025,722055446.4,1243343953,544003524.2
2040,reg156,CN,817989995.1,1375702415,692096181,1259646093,557712420
2045,reg156,CN,780460885.9,1345324441,645562603.6,1228056090,564863554.8
2050,reg156,CN,727679371.3,1306025393,594498436.3,1173823650,578346021.8
2055,reg156,CN,659244051.5,1257592716,550956796.3,1124980709,598348664.7
2060,reg156,CN,608973770.1,1203215813,510398253.5,1076949642,594242042.6
2065,reg156,CN,577412289.3,1146749637,469759701.1,1021261083,569337347.7
2070,reg156,CN,545978329,1091659031,430069951.7,957212494.7,545680701.5
2075,reg156,CN,505043376.6,1038709136,393050814.8,890723132,533665759.5
2080,reg156,CN,455236529.5,986647119.4,361689816.4,833922500.4,531410589.9
2085,reg156,CN,410030600.3,935604945.7,338548474.3,792831016.8,525574345.4
2090,reg156,CN,388628942.6,887408681.9,319002095.1,756884868.8,498779739.3
2095,reg156,CN,373019866,842783730.1,301367913.2,722603476.2,469763864.1
2100,reg156,CN,356855098.6,800215810.8,285109661.7,689305468.7,443360712.2
2015,reg191,HR,2566100,4235400,1881662.61,3914513.08,1669300
2020,reg191,HR,2450788,4114639,1796970.91,3732972.6,1663851
