Time,region,wa_weight,wa_sum,pop_Sum,non_wa
1970,reg100,7977761.536,5056700,8501100,3444400
1975,reg100,8915004.192,5184400,8731800,3547400
1980,reg100,9679891.526,5226700,8870300,3643600
1985,reg100,10336843.87,5389200,8966300,3577100
1990,reg100,10719152.03,5227200,8827700,3600500
1995,reg100,10347233.85,4986000,8363300,3377300
2000,reg100,10467284.38,4875200,7998200,3123000
2005,reg100,10598865.72,4793500,7677000,2883500
2010,reg100,10533534.77,4664000,7386600,2722600
2015,reg100,10615481.56,4426500,7177900,2751400
2020,reg100,9904168.917,4163785,7020235,2856450
2025,reg100,9284825.032,3913564.466,6678010.832,2764446.366
2030,reg100,8740865.908,3696614.32,6423878.791,2727264.471
2035,reg100,8290819.472,3518417.796,6182870.171,2664452.375
2040,reg100,7933406.961,3314478.897,5957057.744,2642578.846
2045,reg100,7510876.111,3082615.053,5747942.771,2665327.718
2050,reg100,7167592.996,2886099.674,5558129.662,2672029.988
2055,reg100,6815854.843,2695919.609,5380614.994,2684695.385
2060,reg100,6618424.566,2578347.023,5209715.775,2631368.752
2065,reg100,6585716.991,2533072.604,5042841.218,2509768.614
2070,reg100,6502654.441,2472169.79,4881814.889,2409645.099
2075,reg100,6344176.432,2384770.234,4729390.827,2344620.593
2080,reg100,6144988.736,2285458.131,4592734.255,2307276.124
2085,reg100,5934783.942,2185721.053,4473850.45,2288129.398
2090,reg100,5762674.733,2103562.519,4373139.588,2269577.068
2095,reg100,5609655.897,2031217.297,4284536.748,2253319.451
2100,reg100,5451841.283,1959691.008,4196331.665,2236640.657
1970,reg104,3527375.375,11779700,26751400,14971700
1975,reg104,4594985.353,13407000,30172200,16765200
1980,reg104,6113807.767,15326200,33946000,18619800
1985,reg104,7612263.138,17455600,37941500,20485900
1990,reg104,9774265.416,19883300,41469400,21586100
1995,reg104,11753661.35,22171200,44246700,22075500
2000,reg104,15360444.58,24896700,47271800,22375100
2005,reg104,17826114.82,27287600,49619200,22331600
2010,reg104,21159829.97,29006100,51358200,22352100
2015,reg104,25959367.69,30162900,52404600,22241700
2020,reg104,26884661.89,31779078,53227971,21448893
2025,reg104,30693869.78,33319696.03,54951013.69,21631317.66
2030,reg104,34439554.99,34426834.75,56293773.77,21866939.01
2035,reg104,37880549.2,35123646.67,57117637.27,21993990.6
2040,reg104,41622271.04,35648126.22,57455260.73,21807134.52
2045,reg104,44982874.27,35763358.3,57436187.34,21672829.04
2050,reg104,47657669.64,35450343.91,57142289.08,21691945.17
