"iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","PWLF_g","PWLF_o_LF","Y_o_L_t_PWLF_o_LF","log_Y_o_L_t_PWLF_o_LF"
"AUT",2015,430623.875,7453.3,8678.8,0.0124569401799377,0.103759175677459,0.0707059790510645,0.0129551719297467,-0.190043602887865,0.00591824905144023,0.0817353219183978,49.6179051251325,3.92430536992899,0.0877732011323843,0.664403686957455,0.247823111910161,4.35512236631582,32.9663191042432,12.2964636545734,0.342697452235652,2.59406570386877,0.967588602911149,0.0366976869017321,2.0571333778705,102.070648772922,8.03177232241833
"BEL",2015,484155.03125,9368.4,11287.8,0.0175267468797937,0.0664491399362497,0.0794924014173493,0.0170376294545047,-0.15762641802926,0.00538309748900545,0.112055011456291,42.8918860406811,3.78172947476778,0.102952478544896,0.607008667435208,0.267345544596729,4.41582597735333,26.0357465893366,11.4669546323267,0.386965697091023,2.28155295971749,1.00486706576898,0.00653150956252446,2.15214530800119,92.3095712937737,8.08923127565779
"BGR",2015,127390.25,6173.2,7178.5,-0.0451287924433235,0.159587895548569,0.130629847514111,-0.0500137429248575,-0.258568961185027,-0.0645039223809203,0.0293567517420374,17.7460820505677,2.93098477327874,0.0526631244735307,0.686515907471004,0.250502170673233,0.934564127946535,12.1829676230004,4.44543207461249,0.151467822868199,1.97453286162851,0.720485516097765,-0.059829856337533,2.13985190082663,37.9739874081326,6.15456663308108
"CHN",2015,17985756,1149985.7,1397058.5,0.0138772571415089,0.118952876101979,0.299266349887048,0.022809616563741,-0.100928292353199,0.0576373716258054,0.116766563193124,12.8740178024041,2.63001786811092,0.211043232972375,0.629131214414231,0.119713662526412,2.71697433836328,8.09944645441694,1.54119582255603,0.53926002338384,1.60756309794084,0.305893686066724,0.0299112355233113,1.33778008775507,17.2226046654605,3.41831060510556
"CYP",2015,23929.623046875,964.7,1160.9,0.0375012273825215,0.159006817512077,0.0749573236219625,0.0376981393112654,-0.11480035591846,-0.00586630588975812,0.154235157124035,20.6129925461926,3.07329464062561,0.111744583808438,0.512905566497357,0.349538716699492,2.30339027312072,10.5725186191107,7.20503896193236,0.338130347941582,1.55201202376155,1.05767674699352,0.117506857158594,2.13772705859832,44.0649519246814,6.46859444541063
"CZE",2015,347158.625,8997.6,10602.1,-0.00107573566151586,0.144359312456084,0.0668239725496882,-0.00663409670384141,0.239852984761899,-0.0297875105098164,0.0757930088213046,32.7443265956744,3.5188123023191,0.00292300168933938,0.79742375744643,0.19524095314306,0.0957117219554368,26.1111039489758,6.39303353456714,0.0101975628457843,2.78199595673831,0.681142914493888,-0.0308522380702421,2.0738683960305,67.9074240760702,7.23516629481886
"DEU",2015,3931076.75,70988.8,81707.9,-0.00247525182164665,0.0839436911564082,0.0531861673221599,-0.00309537056491749,-0.218034755872487,-0.0359549366362266,0.0863575182979819,48.1113423549008,3.89409001331435,0.0492852393617021,0.648116322574829,0.302598438063469,2.37117902397408,31.1817462811969,14.5584170497298,0.190907259687901,2.51049021378816,1.17212048363157,-0.000210061802086159,2.11051620928233,101.53976789035,8.17512243542183
"DNK",2015,270172.65625,4730.4,5688.6,0.0149675711810833,0.143422105432748,0.130833507237995,0.0196724911130399,0.401712758489614,-0.0335223560551281,0.133889117123993,47.4936990208487,3.88143387240758,0.00355149670218163,0.714780991036699,0.280441400304414,0.168673715446951,33.9475932541209,13.3191994590432,0.0137108976917007,2.75948138542728,1.08267124272679,0.013776312970748,2.06912894140478,98.2705871784058,7.988073087358
"ESP",2015,1669676.25,39481,46398,0.00746147934608388,0.122143935251076,0.0800419650684034,0.0149976541833396,-0.175230883718065,0.0342259041004898,0.102892725105168,35.9859530583215,3.61053819348764,0.199090701856589,0.500970086877232,0.285040905752134,7.1644686513595,18.0278860299873,10.2574686540977,0.71336760165057,1.79504028084504,1.02133824137692,0.0321956260959944,1.89540732138181,68.2080388936446,6.79148831359811
"EST",2015,37508.921875,1103,1315.2,-0.00693785423051274,0.179327679585947,0.137516122189172,-0.0123036411953565,-0.316715104195494,-0.0366018491999576,0.0359320092260642,28.5195573867092,3.3850530059447,0.0381686310063463,0.543970988213962,0.415412511332729,1.08855246235762,15.513811815073,11.8473809561108,0.127887436265346,1.82262379475552,1.3918770379283,-0.00246526404191982,2.23343297249533,63.6965198284492,7.48331835311114
"FIN",2015,228346.40625,4583.6,5482.2,0.00905936499235871,0.0847860985138418,0.042335022202149,0.00650065882405571,-0.345805271701829,0.00372027183348322,0.101487544124162,41.6523304968808,3.75308191481017,0.111571690374378,0.550004363382494,0.338423946243128,4.64722092156926,22.9089635183342,14.0961460569774,0.416090700353566,2.05116279935733,1.26210382164343,-0.0113835144707046,2.26247357982812,94.2372972874619,8.43757240930274
