"X","iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","wa_weight_g","wa_weight_o_wa_sum","Y_o_L_t_wa_weight_o_wa_sum","log_Y_o_L_t_wa_weight_o_wa_sum"
1,"ABW",1970,463.304107666016,37,59,0.026317308317374,0.429006649216739,0.462769381587771,0.109562202511527,0.0455775084963195,0.255933374137201,0.298492988555997,7.85261199433925,2.18071255607772,0.494594594594595,0.232432432432432,0.0351351351351351,3.88385944584887,1.82520170679237,0.275902583584893,1.01928339802282,0.479007498524383,0.072408110242058,0.319175816500994,0.549726834926471,4.31679153755375,1.13290246681217
2,"ABW",1975,712.046325683594,41.4,60.6,-0.00651468102119424,0.431990022760656,0.448488046859576,0.0661586702510761,-0.0049627893421289,0.203598955241239,0.25489224962879,11.7499393677161,2.54552651611988,0.463768115942029,0.27536231884058,0.0507246376811594,5.44924724299876,3.23549055053051,0.596011417202989,1.14265418220637,0.67845092068503,0.124977801178821,0.237593959676872,0.655255124203822,7.69920797978017,1.61444907993037
3,"ABW",1980,1097.3193359375,44.3,60.2,0.0478560211776351,0.432831135415911,0.452593187274648,0.0723719975995558,-0.00498754151103942,0.157903029445809,0.300104592450338,18.2278959458056,2.9563621384197,0.431151241534989,0.320541760722348,0.0677200902934537,7.85897996760469,5.84280186073228,1.23439475930964,1.25161186116637,0.930517718772902,0.196588250444979,0.220166227788363,0.795529776219512,14.5008339827193,2.30938568165196
4,"ABW",1985,1692.1865234375,47.7,63.2,-0.0156989095431035,0.576493812277679,0.498747094599787,-0.0165635256716747,-0.0672087496934499,0.00560225554866944,0.200670695462151,26.7751032189478,3.32414005177253,0.39832285115304,0.352201257861635,0.0922431865828092,10.6651354540882,9.43022503308853,2.46982084199938,1.30947540788553,1.15785193960405,0.303246936562966,0.20289757720367,0.874193575268817,23.4066232111636,2.87388731334981
5,"ABW",1990,3012.51171875,46.9,62.2,0.253070971855682,0.328437956283274,0.449562493123674,0.267649773689183,0.180537435000453,0.326042940324228,0.435318071257845,48.4326642885852,3.90061142610068,0.377398720682303,0.360341151385927,0.119402985074627,18.2784255417475,17.4522820144369,5.78300469117435,1.46437288028043,1.398186535409,0.463304414100024,0.313293788668554,1.05945485611702,51.312221375227,4.1108696827968
6,"ABW",1995,4184.15625,61.6,80.4,0.122413304040546,-0.0131425003981533,0.363157402737215,0.124505155432029,0.0606246218164346,0.163325056103299,0.227057450635346,52.0417444029851,3.9710792337792,0.347402597402597,0.386363636363636,0.149350649350649,18.0794371789591,20.1070376102442,7.77246831992634,1.37295110573196,1.52692693067386,0.590240662277291,0.305734771850974,1.06430238613281,55.388152746611,4.20617217257248
7,"ABW",2000,4129.5126953125,69.9,91,0.0943215489773852,0.100984512807459,0.323654379428371,0.115743659312256,0.0491902441907719,0.160976644897658,0.191394852999629,45.3792603880495,3.83685238491389,0.32618025751073,0.40343347639485,0.168812589413448,14.8018188390204,18.3075127745779,7.66059045177373,1.24439568136501,1.53912097431988,0.644029343864346,0.0986756213725641,1.3117072427305,59.5243045207576,5.00423551236953
8,"ABW",2005,4568.4189453125,78.6,100.1,0.0147278067102432,-0.149610433181639,0.301087589015863,0.0223611801581569,-0.0202027073175191,0.0372002836860905,0.104069359894206,45.6385509022228,3.84242747171013,0.305343511450382,0.423664122137405,0.184478371501272,13.9354353899917,19.3354166036135,8.41932554811998,1.16664206836067,1.61871586985043,0.704846249634572,0.131384642842082,1.29402149587956,59.0572659082696,4.94413621984371
9,"ABW",2010,3933.4677734375,80.4,101.6,0.0269247033705931,-0.00312714250551061,-0.398793979456379,0.0538085559817159,-0.0502197569790268,0.0988788810172307,0.14581034791104,38.7152339905266,3.68173484180956,0.29228855721393,0.430348258706468,0.201492537313433,11.3160198852907,16.6610335332366,7.80083072943446,1.06867511685323,1.57345357630305,0.736703697575415,0.113157774654647,1.47337756281646,57.0421571008309,5.38701191083355
10,"ABW",2015,3921.18334960938,84.9,104.4,0.0122585222004457,-0.12298404202784,-0.24608272390555,0.0332028210079143,-0.0804004254380377,0.0592766099295408,0.13164519275691,37.5592274866798,3.65219543548253,0.262661955241461,0.451118963486455,0.222614840989399,9.86538012901013,16.943679773143,8.36124145463191,0.952390996855031,1.6357208600694,0.807183400921977,0.000500176717132206,1.60668496456086,60.3458460833696,5.82570967928504
